timestamp,USD,hashrate,activeAccounts
2016-03-26T00:00:00Z,6.032901512,41.6982436,13.03244523
2016-03-27T00:00:00Z,6.052116006,41.58533813,12.9604913
2016-03-28T00:00:00Z,6.046611345,41.76895498,13.15414108
2016-03-29T00:00:00Z,6.03097265,41.7021528,13.41280813
2016-03-30T00:00:00Z,6.023651943,41.64365592,13.0822911
2016-03-31T00:00:00Z,6.029618182,41.46409642,12.94696421
2016-04-01T00:00:00Z,6.033483208,41.67407493,13.13251963
2016-04-02T00:00:00Z,6.039589525,41.57557706,13.07600525
2016-04-03T00:00:00Z,6.03983873,41.6117509,13.05280749
2016-04-04T00:00:00Z,6.038735285,41.764775,13.09644436
2016-04-05T00:00:00Z,6.045591116,41.69502275,13.04064777
2016-04-06T00:00:00Z,6.043374563,41.70712807,13.07918653
2016-04-07T00:00:00Z,6.042994985,41.60058126,13.00849343
2016-04-08T00:00:00Z,6.037156643,41.62308599,12.99630116
2016-04-09T00:00:00Z,6.038154655,41.75225253,12.95678802
2016-04-10T00:00:00Z,6.045156428,41.78395269,12.98400435
2016-04-11T00:00:00Z,6.04842211,41.67777396,13.07681565
2016-04-12T00:00:00Z,6.056250111,41.65638728,13.14559737
2016-04-13T00:00:00Z,6.051969461,41.75244565,13.11260795
2016-04-14T00:00:00Z,6.053824837,41.79605215,13.06099423
2016-04-15T00:00:00Z,6.064739703,41.66199214,12.98688953
2016-04-16T00:00:00Z,6.071376101,41.6627342,12.92199841
2016-04-17T00:00:00Z,6.061267909,41.76781586,13.07728233
2016-04-18T00:00:00Z,6.062913959,41.62361524,13.0783885
2016-04-19T00:00:00Z,6.07921636,41.72950446,13.08166013
2016-04-20T00:00:00Z,6.092341742,41.83218535,13.05045053
2016-04-21T00:00:00Z,6.112947564,41.73981021,13.07646603
2016-04-22T00:00:00Z,6.104994626,41.67150576,12.99481633
2016-04-23T00:00:00Z,6.121366953,41.69567,12.98227108
2016-04-24T00:00:00Z,6.136112747,41.60162498,13.03342068
2016-04-25T00:00:00Z,6.141133414,41.57818007,13.11234132
2016-04-26T00:00:00Z,6.151884918,41.7202742,13.17058767
2016-04-27T00:00:00Z,6.097170814,41.60065228,13.06457959
2016-04-28T00:00:00Z,6.113077018,41.62900091,13.04004642
